trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 1.0}",30,0,-117.23003849128338,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.99, 'e': 0.99}",25,0,-139.77222420053474,"{0: 12, 1: 1, 2: 9, 3: 3, 4: 0}",0
3,False,"{'a': 0.99, 'e': 0.9801}",35,13,-165.5935909538122,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 2}",1
4,False,"{'a': 0.99, 'e': 0.970299}",20,12,-13.34012705951919,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.99, 'e': 0.96059601}",30,12,-107.83331012060046,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 3}",1
6,False,"{'a': 0.99, 'e': 0.9509900498999999}",20,0,-70.22365643232357,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.99, 'e': 0.941480149401}",20,0,-5.64410214794559,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.99, 'e': 0.9320653479069899}",30,0,-109.07421448183364,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.99, 'e': 0.9227446944279201}",25,0,-58.45237588395115,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.99, 'e': 0.9135172474836408}",20,0,-29.653488380826957,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.99, 'e': 0.9043820750088044}",30,12,-93.10463370117293,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 1}",1
12,False,"{'a': 0.99, 'e': 0.8953382542587164}",20,0,-66.81353384903237,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.99, 'e': 0.8863848717161292}",25,0,-69.89612659823595,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.99, 'e': 0.8775210229989678}",30,0,-295.5277948546545,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 5}",0
15,False,"{'a': 0.99, 'e': 0.8687458127689782}",25,0,-84.25293053820515,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.99, 'e': 0.8600583546412884}",30,13,7.345287673819513,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.99, 'e': 0.8514577710948755}",30,0,-164.88174650791822,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
