trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,9,-44.26993703155931,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-186.84980155652693,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-184.60688984925716,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-109.63504493766058,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-142.83082186599196,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-50.189940410302064,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-124.10293512501813,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-188.03753157442895,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-159.16748691448225,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-47.58997762954982,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-56.427563535698546,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-297.66943116357555,"{0: 17, 1: 7, 2: 5, 3: 0, 4: 6}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-131.20233554552397,"{0: 21, 1: 5, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-165.92130144408168,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-79.5622342061876,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-179.53214276668575,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-45.925913968654754,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-190.64791935467022,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-170.34850554599,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-174.9335055321861,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-120.5972650977281,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-101.48028997682525,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-167.4399289953149,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-130.93192151481313,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,8,-78.41269724354697,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",35,0,-228.45120427776328,"{0: 21, 1: 5, 2: 4, 3: 1, 4: 4}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-130.58204384879554,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-122.17289665026713,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-58.99784572033734,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-104.02531311959937,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
